admission_code,program_name,major_code,major_name,quota,admission_method,subject_combination
7580101,Kiến trúc,7580101,Kiến trúc,300,100,"V00, V02, V10"
7580101,Kiến trúc,7580101,Kiến trúc,300,301,TT
7580101,Kiến trúc,7580101,Kiến trúc,300,415,
7580101_02,Kiến trúc công nghệ,7580101,Kiến trúc,50,100,"V00, V02"
7580101_02,Kiến trúc công nghệ,7580101,Kiến trúc,50,301,TT
7580101_02,Kiến trúc công nghệ,7580101,Kiến trúc,50,415,
7580102,Kiến trúc cảnh quan,7580102,Kiến trúc cảnh quan,50,100,"V00, V02, V06"
7580102,Kiến trúc cảnh quan,7580102,Kiến trúc cảnh quan,50,301,TT
7580102,Kiến trúc cảnh quan,7580102,Kiến trúc cảnh quan,50,415,
7580103,Kiến trúc nội thất,7580103,Kiến trúc nội thất,100,100,"V00, V02"
7580103,Kiến trúc nội thất,7580103,Kiến trúc nội thất,100,301,TT
7580103,Kiến trúc nội thất,7580103,Kiến trúc nội thất,100,415,
7580105,Quy hoạch vùng và đô thị,7580105,Quy hoạch vùng và đô thị,50,100,"V00, V01, V02"
7580105,Quy hoạch vùng và đô thị,7580105,Quy hoạch vùng và đô thị,50,301,TT
7580105,Quy hoạch vùng và đô thị,7580105,Quy hoạch vùng và đô thị,50,415,
7210110,Mỹ thuật đô thị,7210110,Mỹ thuật đô thị,50,100,"H00, H07, V00, V01, V02"
7210110,Mỹ thuật đô thị,7210110,Mỹ thuật đô thị,50,301,TT
7210110,Mỹ thuật đô thị,7210110,Mỹ thuật đô thị,50,415,
7580201,Kỹ thuật xây dựng,7580201,Kỹ thuật xây dựng,250,100,"A00, A01, C01, D01, D07, X06"
7580201,Kỹ thuật xây dựng,7580201,Kỹ thuật xây dựng,250,200,"A00, A01, C01, D01, D07, X06"
7580201,Kỹ thuật xây dựng,7580201,Kỹ thuật xây dựng,250,301,TT
7580201,Kỹ thuật xây dựng,7580201,Kỹ thuật xây dựng,250,402,"K00, SP1, SP2, SP3, SP4"
7580201,Kỹ thuật xây dựng,7580201,Kỹ thuật xây dựng,250,415,
7580201,Kỹ thuật xây dựng,7580201,Kỹ thuật xây dựng,250,417,"VS1, VS2, VS3, VS4"
7580201_01,Xây dựng Dân dụng va Công nghiệp,7580201,Kỹ thuật xây dựng,450,100,"A00, A01, C01, D07, D24, D29, X06"
7580201_01,Xây dựng Dân dụng va Công nghiệp,7580201,Kỹ thuật xây dựng,450,200,"A00, A01, C01, D07, D24, D29, X06"
7580201_01,Xây dựng Dân dụng va Công nghiệp,7580201,Kỹ thuật xây dựng,450,301,TT
7580201_01,Xây dựng Dân dụng va Công nghiệp,7580201,Kỹ thuật xây dựng,450,402,"K00, SP1, SP2, SP3"
7580201_01,Xây dựng Dân dụng va Công nghiệp,7580201,Kỹ thuật xây dựng,450,415,
7580201_01,Xây dựng Dân dụng va Công nghiệp,7580201,Kỹ thuật xây dựng,450,417,"VS1, VS2, VS3"
7580201_02,Hệ thống kỹ thuật trong công trình,7580201,Kỹ thuật xây dựng,100,100,"A00, A01, C01, D07, X06"
7580201_02,Hệ thống kỹ thuật trong công trình,7580201,Kỹ thuật xây dựng,100,200,"A00, A01, C01, D07, X06"
7580201_02,Hệ thống kỹ thuật trong công trình,7580201,Kỹ thuật xây dựng,100,301,TT
7580201_02,Hệ thống kỹ thuật trong công trình,7580201,Kỹ thuật xây dựng,100,402,"K00, SP1, SP2, SP3"
7580201_02,Hệ thống kỹ thuật trong công trình,7580201,Kỹ thuật xây dựng,100,415,
7580201_02,Hệ thống kỹ thuật trong công trình,7580201,Kỹ thuật xây dựng,100,417,"VS1, VS2, VS3"
7580201_03,Tin học xây dựng,7580201,Kỹ thuật xây dựng,150,100,"A00, A01, C01, D01, D07, X06"
7580201_03,Tin học xây dựng,7580201,Kỹ thuật xây dựng,150,200,"A00, A01, C01, D01, D07, X06"
7580201_03,Tin học xây dựng,7580201,Kỹ thuật xây dựng,150,301,TT
7580201_03,Tin học xây dựng,7580201,Kỹ thuật xây dựng,150,402,"K00, SP1, SP2, SP3, SP4"
7580201_03,Tin học xây dựng,7580201,Kỹ thuật xây dựng,150,415,
7580201_03,Tin học xây dựng,7580201,Kỹ thuật xây dựng,150,417,"VS1, VS2, VS3, VS4"
7580201_04,Kỹ thuật công trình thủy,7580201,Kỹ thuật xây dựng,50,100,"A00, A01, C01, D01, D07, X06"
7580201_04,Kỹ thuật công trình thủy,7580201,Kỹ thuật xây dựng,50,200,"A00, A01, C01, D01, D07, X06"
7580201_04,Kỹ thuật công trình thủy,7580201,Kỹ thuật xây dựng,50,301,TT
7580201_04,Kỹ thuật công trình thủy,7580201,Kỹ thuật xây dựng,50,402,"K00, SP1, SP2, SP3, SP4"
7580201_04,Kỹ thuật công trình thủy,7580201,Kỹ thuật xây dựng,50,415,
7580201_04,Kỹ thuật công trình thủy,7580201,Kỹ thuật xây dựng,50,417,"VS1, VS2, VS3, VS4"
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,100,"A00, A01, C01, D01, D07, X06"
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,200,"A00, A01, C01, D01, D07, X06"
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,301,TT
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,402,"K00, SP1, SP2, SP3, SP4"
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,415,
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,417,"VS1, VS2, VS3, VS4"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,100,"A00, A01, C01, D07, X06, X26"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,200,"A00, A01, C01, D07, X06, X26"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,301,TT
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,402,"K00, SP1, SP2, SP3"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,415,
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,417,"VS1, VS2, VS3"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,100,"A00, A01, C01, D01, D07, X06"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,200,"A00, A01, C01, D01, D07, X06"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,301,TT
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,402,"K00, SP1, SP2, SP3, SP4"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,415,
