major_code,major_name,description,additional_info
7580101,Kiến trúc,"1. Giới thiệu:

Ngành Kiến trúc thuộc Khoa Kiến trúc & Quy hoạch, Trường Đại học Xây dựng Hà Nội, có lịch sử đào tạo lâu đời và đạt chuẩn kiểm định quốc tế.
Chương trình đào tạo theo hai mô hình:
Tích hợp Cử nhân Kiến trúc - Kiến trúc sư/Thạc sĩ Kiến trúc (5-5,5 năm).
Tuần tự 2 giai đoạn: Cử nhân Kiến trúc và Kiến trúc sư/Thạc sĩ Kiến trúc.
Nội dung chương trình xây dựng theo chuẩn NAAB của Hoa Kỳ và phương pháp CDIO.
Sinh viên tốt nghiệp có khả năng hội nhập quốc tế, giải quyết các vấn đề kiến trúc phức tạp và phát triển kỹ năng nghề nghiệp.
2. Khung chương trình đào tạo:

Xây dựng theo chuẩn NAAB, bao gồm các nhóm môn học:
Giáo dục đại cương (ngoại ngữ, khoa học tự nhiên, xã hội, nhân văn, nghệ thuật).
Lịch sử - Lý thuyết kiến trúc và Hành vi con người.
Thiết kế kiến trúc (xưởng thiết kế, đồ án).
Xây dựng và Kỹ thuật công trình.
Thực hành nghề nghiệp.
Tự chọn.
3. Cơ hội học bổng và hỗ trợ học tập:

Giảng viên giàu kinh nghiệm, được đào tạo quốc tế.
Học bổng AUF (dành cho lớp Pháp ngữ KDF).
Thực tập tại doanh nghiệp.
Tham gia cuộc thi, workshop, xưởng thiết kế, giải thưởng kiến trúc.
Tham quan Xuyên Việt, giao lưu quốc tế.
Học kỳ trao đổi sinh viên quốc tế.
Chuyển tiếp sau đại học trong và ngoài nước.
4. Cơ hội học tập sau tốt nghiệp:

Tiếp cận nghề nghiệp sớm (thực tập có trả lương).
Đảm nhận nhiều vị trí công việc (thiết kế, giám sát, thi công, quản lý).
Hoạt động nghề nghiệp đa năng (giảng dạy, nghiên cứu, điều phối, quản lý).
Môi trường việc làm đa dạng (nhà nước, tư nhân, liên doanh, tự do).
Thu nhập khá và ổn định (khởi điểm ≥ 8.000.000 VNĐ/tháng).
Tiếp tục học tập, hành nghề và định cư ở nước ngoài.","Thông tin liên hệ:

Hotlines: 0982484579 (CN. Hoàng Lê), 0912101142 (TS.KTS. Trương Ngọc Lân)
Fanpages: https://www.facebook.com/kientrucquyhoachnuce, https://www.facebook.com/BomonKientrucdandung
Website: https://ktqh.huce.edu.vn
Văn phòng: Phòng 116 - Nhà A1 - Trường Đại học Xây dựng Hà Nội

"
7580101_02,Kiến trúc công nghệ,"Giới thiệu: Đào tạo kiến trúc sư có kiến thức và kỹ năng về công nghệ, kỹ thuật số, đáp ứng yêu cầu công nghiệp 4.0. Thời gian đào tạo 5 năm, cấp bằng kiến trúc sư (bậc 7 theo Khung trình độ Quốc gia Việt Nam).
Kiến thức và Kỹ năng:
Kiến thức: Khoa học xã hội, pháp luật, công nghệ kiến trúc, quản lý, quy định hành nghề, bảo vệ môi trường.
Kỹ năng: Giải quyết vấn đề phức tạp, lãnh đạo, phản biện, đánh giá, truyền đạt, ngoại ngữ (bậc 3/6), hình thành và triển khai ý tưởng.
Tự chủ và trách nhiệm: Làm việc độc lập/nhóm, hướng dẫn, tự định hướng, lập kế hoạch và quản lý nguồn lực.
Chương trình đào tạo: Tích hợp liên ngành, bao gồm thiết kế kiến trúc, công nghệ vật liệu, đồ họa (CAD, Photoshop, BIM, VR), kỹ năng nghề nghiệp, đồ án tích hợp thực tế, quản lý và khởi nghiệp.
Học bổng và Hỗ trợ: Miễn giảm học phí ngoại ngữ, đồ họa nâng cao; cơ hội trao đổi sinh viên quốc tế (Đức, Pháp, Tây Ban Nha, Italia, Canada,...); học tập ngắn hạn (Thái Lan, Malaysia, Singapore, Trung Quốc,...). Yêu cầu trình độ ngoại ngữ.
Cơ hội việc làm:
Đáp ứng nhu cầu nhân lực kiến trúc sư am hiểu công nghệ.
Làm việc tại các đơn vị quản lý nhà nước, tư vấn thiết kế, thi công xây dựng trong và ngoài nước.
Các vị trí: Triển khai thiết kế, liên kết kỹ thuật số, kết nối kỹ thuật, kiểm tra hồ sơ, giám sát thi công, quản lý dự án.
Thu nhập khởi điểm:
Việt Nam: ~12.000.000 đồng/tháng.
Doanh nghiệp nước ngoài tại Việt Nam: 800 - 1.000 USD/tháng.
Nước ngoài: ~3.600 USD/tháng (theo thống kê về thu nhập bình quân của kiến trúc sư sử dụng thành thạo BIM).
Học tập sau đại học: Học bằng hai, sau đại học trong và ngoài nước; cơ hội chuyển tiếp Thạc sỹ/Nghiên cứu sinh tại các trường đối tác.","Liên hệ:
Hotline: 0986699698 (TS.KTS. Lê Lan Hương), 0984958597 (CN. Nguyễn Ngọc Oanh).
Fanpages: Khoa Kiến trúc & Quy hoạch - Trường Đại học Xây dựng Hà Nội, Bộ môn Kiến trúc Công nghệ - Trường Đại học Xây dựng Hà Nội.
Website: http://bmktcn.com
Văn phòng: Phòng 404 - Nhà A1 - Trường Đại học Xây dựng Hà Nội."
7580102,Kiến trúc cảnh quan,"1. Giới thiệu:

Kiến trúc Cảnh quan là ngành khoa học tổng hợp, ứng dụng hài hòa khoa học và nghệ thuật để tổ chức môi trường, cải tạo môi sinh, bảo vệ môi trường, hướng đến sự bền vững giữa Thiên nhiên - Con người - Kiến trúc.
Chương trình đào tạo theo chuẩn NAAB và phương pháp CDIO, trang bị kiến thức chuyên môn sâu và kỹ năng làm việc toàn cầu.
2. Thời gian đào tạo và cấp bằng:

Thời gian đào tạo: 5 năm.
Cấp bằng: Kiến trúc sư (tương đương bậc 7 Khung trình độ Quốc gia Việt Nam).
3. Kiến thức và Kỹ năng:

Kiến thức: Tổng quát về nghề nghiệp, khoa học tự nhiên - xã hội, sinh thái cảnh quan, đồ họa, lịch sử và lý thuyết thiết kế, kỹ thuật xây dựng, quản trị, luật pháp, ngoại ngữ (bậc 3/6), khả năng học tập và nghiên cứu nâng cao.
Kỹ năng: Giải quyết vấn đề môi trường, phân tích hệ thống tự nhiên và văn hóa, thiết kế cảnh quan, thuyết trình, đánh giá công việc, lãnh đạo, khởi nghiệp, phản biện, nhận diện tác động của thiết kế đến sức khỏe và môi trường.
Thái độ và đạo đức: Tuân thủ pháp luật, có trách nhiệm với xã hội và môi trường, làm việc độc lập/nhóm, có đạo đức nghề nghiệp, có năng lực hướng dẫn và giám sát.
4. Chương trình đào tạo:

Tích hợp liên ngành, bao gồm: Giáo dục đại cương, lý thuyết - lịch sử kiến trúc/cảnh quan, thiết kế cảnh quan, công nghệ - vật liệu - kỹ thuật cảnh quan, mỹ thuật - đồ họa, kỹ năng nghề nghiệp, liên kết đa ngành, đồ án tích hợp thực tế, thực tập và thực hành (tham quan xuyên Việt), tài chính - quản lý dự án.
5. Cơ hội:

Học bổng: Cho sinh viên thủ khoa, xuất sắc từ đối tác.
Học tập: Giảng viên trẻ, được đào tạo bài bản, đạt giải thưởng.
Việc làm: Thực tế tại công ty thiết kế uy tín từ sớm.
Giao lưu: Với sinh viên trong và ngoài nước qua các cuộc thi, hội thảo.
Trao đổi: Sinh viên và học tập chuyển tiếp ở các trường nước ngoài (nếu đạt yêu cầu).
6. Cơ hội việc làm:

Quản lý, tư vấn thiết kế, sản xuất, giám sát công trình kiến trúc và cảnh quan.
Quản lý tại cơ quan nhà nước, ban quản lý dự án.
Nghiên cứu và giảng dạy.
Thu nhập khởi điểm: ≥ 10.000.000 VNĐ/tháng.
Tương tác với các lĩnh vực khác (kinh tế, phát triển bền vững, biến đổi khí hậu).
7. Cơ hội học tập sau đại học:

Học bằng hai, sau đại học với học bổng.
Tiếp tục nâng cao trình độ trong và ngoài nước.","Liên hệ:

Hotline: 0983456898 (TS.KTS. Phạm Anh Tuấn)
Fanpage:
Khoa Kiến trúc & Quy hoạch - ĐHXD
Bộ Môn Kiến Trúc Cảnh Quan
Website: http://ktcq.edu.vn
Văn phòng: Phòng 411 - Nhà A1 - Trường Đại học Xây dựng Hà Nội"
7580103,Kiến trúc nội thất,"Giới thiệu: Ngành học kết hợp nghệ thuật và kỹ thuật, tập trung vào thiết kế kiến trúc không gian và trang trí nội thất chuyên nghiệp. Chương trình đào tạo tiếp cận CDIO, trang bị kỹ năng làm việc nhóm, giao tiếp, lãnh đạo và khởi nghiệp.
Thời gian đào tạo & Cấp bằng: 5 năm, cấp bằng kiến trúc sư (tương đương bậc 7 Khung trình độ Quốc gia Việt Nam).
Kiến thức & Kỹ năng: Thiết kế kiến trúc không gian, thiết kế nội thất chuyên nghiệp, nguyên tắc tổ chức không gian, quy luật thẩm mỹ, nghiên cứu màu sắc, ánh sáng, vật liệu xây dựng, hệ thống kỹ thuật công trình.
Cơ hội: Học bổng, chuyển tiếp nước ngoài, dự án thực tế, thực hành tại xưởng sản xuất nội thất.
Việc làm: Tư vấn thiết kế, giám sát thi công kiến trúc và nội thất; sản xuất, phân phối trang thiết bị nội thất; nghiên cứu.
Học sau đại học: Thạc sĩ, tiến sĩ trong và ngoài nước.","Liên hệ:
Hotlines: 0978502336 (ThS.KTS. Dương An Hà), 094 5180286 (TS.KTS. Phạm Tú Ngọc)
Fanpages: Khoa Kiến trúc & Quy hoạch, Ngành Kiến trúc Nội thất
Website: https://ktqh.huce.edu.vn
Email: bm.noithat@huce.edu.vn
Văn phòng: Tầng 2 Xưởng Mô hình - Ký túc xá Trường Đại học Xây dựng Hà Nội, Số 72 phố Trần Đại Nghĩa, Quận Hai Bà Trưng, Hà Nội

"
7580105,Quy hoạch vùng và đô thị,"1. Giới thiệu:

Đào tạo Kiến trúc sư Quy hoạch, làm việc trong lĩnh vực quy hoạch và phát triển đô thị, nông thôn.
Thời gian đào tạo: 5 năm, cấp bằng kiến trúc sư (tương đương bậc 7 Khung trình độ Quốc gia Việt Nam).
2. Kiến thức và Kỹ năng:

Kiến thức: Cơ sở ngành (kiến trúc, mỹ thuật, văn hóa, địa lý, xã hội, pháp luật, môi trường, vật liệu, kinh tế, kết cấu, kỹ thuật công trình); Chuyên ngành (lý thuyết quy hoạch, thiết kế kiến trúc, cảnh quan, cấu trúc, sử dụng đất, tổ chức không gian, thiết kế đô thị, kỹ thuật hạ tầng, quản lý, môi trường).
Kỹ năng: Diễn họa, tìm ý, thể hiện bằng máy tính, trình bày, viết, phân tích, tổng hợp, làm việc nhóm, thích ứng môi trường.
Chương trình được hỗ trợ bởi kiến thức kỹ thuật từ các khoa khác, tăng tính thực tiễn.
3. Cơ hội Học bổng và Hỗ trợ:

Học bổng từ Nhà trường và doanh nghiệp.
Trải nghiệm quốc tế qua workshop, nghiên cứu, đào tạo với chuyên gia quốc tế.
Tham gia các cuộc thi thiết kế trong và ngoài nước.
Tham gia dự án nghiên cứu của giảng viên.
Kết nối việc làm, doanh nghiệp.
Làm việc tại Viện thiết kế, Công ty tư vấn của trường.
4. Cơ hội Việc làm và Thu nhập:

Việc làm: Đơn vị tư vấn thiết kế, doanh nghiệp phát triển đô thị, cơ quan quản lý nhà nước (Sở Xây dựng, Sở Quy hoạch Kiến trúc, phòng quản lý đô thị).
Khả năng thích ứng cao, làm việc trong nhiều cơ quan, doanh nghiệp, khởi nghiệp.
Dự báo nhu cầu nhân lực lớn do đô thị hóa.
Thu nhập: 96% sinh viên có việc làm trong 6 tháng. Lương trung bình 5-10 triệu (63%), 10-15 triệu (17%). 71% làm việc tại doanh nghiệp tư nhân, 16% tại cơ quan Nhà nước.
5. Cơ hội Học tập Sau Đại học:

Thạc sĩ kiến trúc, Thạc sĩ Quản lý và phát triển không gian đô thị; Tiến sĩ chuyên ngành Kiến trúc, Quy hoạch vùng và đô thị.
Ưu tiên đào tạo nâng cao ở các trường đại học quốc tế.","Liên hệ:

Hotlines: Sáng: 0978364466 (TS. KTS. Lê Minh Khuê); Chiều: 0902209496 (ThS. KTS. Lê Ngọc Hải)
Fanpages:
Khoa Kiến trúc & Quy hoạch - Đại học Xây dựng Hà Nội
Ngành Quy hoạch vùng và đô thị ĐH Xây dựng
Website: https://ktqh.huce.edu.vn
Văn phòng: Phòng 403 - Nhà A1 - Trường Đại học Xây dựng Hà Nội"
7210110,Mỹ thuật đô thị,"1. Giới thiệu:

Mỹ thuật đô thị là yếu tố quan trọng trong không gian công cộng, thể hiện qua tượng đài, tranh hoành tráng, kiến trúc đặc biệt, vật dụng đô thị và nghệ thuật ánh sáng.
Ngành Mỹ thuật Đô thị tại Đại học Xây dựng Hà Nội được mở ra để đáp ứng nhu cầu nhân lực trong bối cảnh đô thị phát triển. Chương trình đào tạo kết hợp giữa Mỹ thuật và Kiến trúc.
2. Thời gian đào tạo và cấp bằng:

Thời gian đào tạo: 3,5 - 4,0 năm.
Cấp bằng: Cử nhân (tương đương bậc 6 theo Khung trình độ Quốc gia Việt Nam).
3. Chuẩn đầu ra:

Chương trình đào tạo bao gồm các môn học: Giáo dục đại cương, Giáo dục chuyên nghiệp (Cơ sở ngành và Cốt lõi ngành), Thực hành nghề nghiệp và Tự chọn.
Cơ sở ngành: Lịch sử và lý thuyết mỹ thuật, cơ sở nghệ thuật thị giác, không gian công cộng.
Cốt lõi ngành: Lý thuyết và thực hành dưới dạng đồ án mỹ thuật đô thị.
4. Cơ hội học bổng:

Học tập với giảng viên giàu kinh nghiệm, được đào tạo quốc tế.
Thực tập tại các tổ chức, doanh nghiệp.
Tham gia các cuộc thi, hội thảo, workshop, triển lãm.
Tham quan các làng nghề, doanh nghiệp.
Trao đổi sinh viên quốc tế (Nhật, Hàn Quốc, Úc, Canada, Pháp, Đức, Tây Ban Nha, Italia,...).
Chuyển tiếp sau đại học trong và ngoài nước.
5. Cơ hội việc làm:

Thực tập có trả lương tại các xưởng thực hành Mỹ thuật.
Thiết kế, giám sát, thi công, quản lý các dự án mỹ thuật đô thị.
Giảng dạy, nghiên cứu, điều phối, quản trị.
Làm việc tại cơ quan nhà nước, doanh nghiệp tư nhân, liên doanh nước ngoài hoặc hành nghề độc lập.
Học tập ở bậc cao hơn trong và ngoài nước, hành nghề và định cư ở nước ngoài.","Liên hệ:

Khoa Kiến trúc và Quy hoạch - Trường Đại học Xây dựng Hà Nội.
Điện thoại: (024) 3869 1973; 0904 56 0928 (TS. Nguyễn Thị Lan Hương)
Website: ktqh.huce.edu.vn
Email: ktqh@huce.edu.vn; huongntl2@huce.edu.vn
Văn phòng: Phòng 116, 117 - Nhà A1."
7210402,Thiết kế công nghiệp,"Thời gian đào tạo: 4 năm, trình độ Cử nhân.

Giới thiệu: Thiết kế Công nghiệp kết hợp nghệ thuật, khoa học và công nghệ để tạo ra các sản phẩm độc đáo, tiện ích và thân thiện với môi trường.

Lý do chọn HUCE:

Sáng tạo không giới hạn: Biến ý tưởng thành sản phẩm thực tế.
Cơ hội nghề nghiệp đa dạng: Nhà thiết kế sản phẩm, quản lý dự án, chuyên viên R&D, khởi nghiệp.
Học đi đôi với hành: Dự án thực tế, công nghệ hiện đại (in 3D, CNC, phần mềm thiết kế).
Theo kịp xu hướng toàn cầu: Công nghệ mới, thiết kế bền vững.
Nội dung học:

Nguyên lý thiết kế
Công nghệ sản xuất
Phần mềm thiết kế (AutoCAD, SolidWorks, Rhino, Photoshop, Illustrator...)
Thiết kế bền vững
Quản lý dự án
Cơ hội nghề nghiệp:

Nhà thiết kế sản phẩm
Quản lý dự án
Chuyên viên R&D
Khởi nghiệp
Giảng dạy và nghiên cứu
Chuẩn đầu ra:

Kiến thức: Nắm vững nguyên lý thiết kế, công nghệ sản xuất, xu hướng thị trường.
Kỹ năng: Sử dụng thành thạo phần mềm thiết kế, phân tích thị trường, quản lý dự án.
Ngoại ngữ: Trình độ B1.
Hỗ trợ và cơ hội: Học bổng, thực tập, kết nối doanh nghiệp, học sau đại học (Thạc sĩ, Tiến sĩ).","Thông tin liên hệ:
Hotline:
Fanpage:
Website:"
7210403,Thiết kế đồ hoạ,"Thời gian đào tạo: 4 năm, hệ đại học chính quy, cấp bằng Cử nhân Thiết kế Đồ họa.
Giới thiệu: Ngành TKĐH kết hợp nghệ thuật, khoa học, công nghệ, đóng vai trò quan trọng trong truyền thông thị giác và nhiều lĩnh vực khác. Trong kỷ nguyên số, TKĐH mở rộng sang thiết kế không gian, truyền thông số, UX/UI.
Nội dung đào tạo:
Chuyên sâu về thiết kế đồ họa (nhận diện thương hiệu, ấn phẩm, quảng cáo, truyền thông đa phương tiện).
Nền tảng về nguyên lý thiết kế, mỹ thuật, lịch sử mỹ thuật, thẩm mỹ công nghiệp.
Thành thạo phần mềm (Photoshop, Illustrator, InDesign, 3D, đồ họa động).
Ứng dụng công nghệ thông tin, nhiếp ảnh, ngoại ngữ chuyên ngành.
Cơ hội nghề nghiệp:
Họa sĩ thiết kế đồ họa tại công ty, báo chí, truyền hình, nhà xuất bản.
Tự thành lập doanh nghiệp thiết kế đồ họa, quảng cáo.
Giảng dạy, nghiên cứu.
Vị trí làm việc sau tốt nghiệp: Khối nhà nước, doanh nghiệp, giáo dục và nghiên cứu.
Cơ hội học tập sau đại học: Thạc sĩ, Tiến sĩ.","Thông tin liên hệ:
Hotline:
Fanpage:
Website:
Văn phòng: Trường Đại học Xây dựng Hà Nội"
7200404,Thiết kế thời trang,"Thời gian đào tạo: 4 năm, cấp bằng Cử nhân (Mã tuyển sinh: 7200404).
Giới thiệu: Ngành học kết hợp nghệ thuật và công nghệ, giúp sinh viên biến ý tưởng thành trang phục độc đáo, thể hiện phong cách cá nhân và xu hướng.
Lý do chọn HUCE:
Thỏa sức sáng tạo.
Cơ hội nghề nghiệp rộng mở (nhà thiết kế, stylist, nhiếp ảnh thời trang, quản lý thương hiệu, khởi nghiệp).
Học đi đôi với hành (dự án thực tế, trình diễn thời trang).
Cập nhật xu hướng toàn cầu và công nghệ hiện đại.
Nội dung học: Vẽ, kỹ thuật may, xu hướng thời trang, công nghệ thiết kế (2D, 3D, in ấn), quản lý thương hiệu.
Cơ hội nghề nghiệp: Làm việc tại các thương hiệu thời trang, stylist, nhiếp ảnh thời trang, khởi nghiệp, giảng dạy/nghiên cứu.
Hỗ trợ và cơ hội: Học bổng, sự kiện thời trang, giao lưu quốc tế, kỹ năng mềm.
Vị trí làm việc: Khối Nhà nước (quản lý), doanh nghiệp (thiết kế, sản xuất, truyền thông), giáo dục (giảng dạy, nghiên cứu).
Học sau đại học: Thạc sĩ, Tiến sĩ trong và ngoài nước.","Thông tin liên hệ:
Hotline:
Fanpage:
Website:
Văn phòng: Trường Đại học Xây dựng Hà Nội"
7580201,Kĩ thuật xây dựng,"Giới thiệu: Chương trình Kỹ thuật Xây dựng (tổng hợp) được thiết kế hiện đại, tương đương các trường đại học quốc tế, cung cấp kiến thức nền tảng về xây dựng dân dụng, cầu đường, công trình thủy, công trình biển. Đào tạo kỹ sư có kiến thức rộng, khả năng làm việc tốt ở vị trí thiết kế, thi công, quản lý. Chương trình tiếp cận CDIO, phương pháp đào tạo tiên tiến.

Thời gian và Bằng cấp: Đào tạo 5 năm, cấp bằng Kỹ sư (bậc 7 Khung trình độ Quốc gia Việt Nam).

Kiến thức và Kỹ năng:

Cử nhân: Kiến thức cơ bản về toán, khoa học tự nhiên, cơ học, kiến trúc, vật liệu xây dựng, kết cấu thép, bê tông cốt thép; kiến thức về các lĩnh vực công trình xây dựng dân dụng, công trình thủy, công trình biển, công trình năng lượng, công trình cầu, công trình hạ tầng, kỹ thuật trắc địa, công trình địa kỹ thuật.
Kỹ sư/Thạc sĩ: Chuyên sâu về kết cấu công trình, công nghệ kỹ thuật xây dựng, địa kỹ thuật, trắc địa, kỹ thuật công trình năng lượng, kỹ thuật cơ sở hạ tầng. Sinh viên có khả năng hình thành ý tưởng, thiết kế, triển khai thiết kế và thi công các công trình xây dựng.
Kỹ năng cá nhân, nghề nghiệp, giao tiếp, làm việc nhóm, hiểu biết về kinh tế, xã hội, pháp luật, đạo đức nghề nghiệp, khả năng học tập suốt đời.
Học bổng và Hỗ trợ: Nhiều cơ hội học bổng từ các tổ chức trong và ngoài nước, hỗ trợ thực tập và làm việc, học bổng trao đổi sinh viên quốc tế, học bổng sau đại học.

Cơ hội Việc làm: Kỹ sư thiết kế, tư vấn giám sát, thi công, quản lý dự án trong các công ty và tổ chức nhà nước. Lĩnh vực việc làm đa dạng: xây dựng dân dụng, công nghiệp, môi trường, hạ tầng đô thị và nông thôn, giao thông vận tải, công trình thủy, biển, dầu khí, năng lượng. ""Sinh viên ngành Kỹ thuật xây dựng sẽ luôn là lựa chọn hàng đầu của các nhà tuyển dụng.""

Học tập Sau Đại học: Học song bằng, bằng 2, học sau đại học trong và ngoài nước, cơ hội du học.","Liên hệ:

Hotline: 0869 071 382
Điện thoại: (024) 38 694 711
Website: https://tuyensinh.huce.edu.vn
Văn phòng: P.304 - Nhà A1 - Trường Đại học Xây dựng Hà Nội"
